BeatmapID,7562902,14715160,15406985,9269034,10549880,13108233,11367222,4175698,13211727,5033077,12779141,12137295,7341183,8251785,21207816,5199332,19851850,6404583,17235399,11496364,25444680,8640970,9970083,6725771,13962152,12834269,11626318,13767572,16817965,15296720,9642774,10077431,8816345,9938943,17730661,13051015,12873118,12258658,8856806,12952320,9074780,9224078,12408961,8356568,4108547,6600930,10933605,7525949,4504101,14106450,10651184,11443437,13609904,2675255,10323184,13057699,14215850,9849451,8007528,8799923,13300203,2546001,13216706,5339515,8868635,3717598,2165650,19072684,7813296,11885405,7918057,17707250,15119977,11592896,2291265,7342622,7512553,11159039,11415687,12130906,16320893,24409289,2094566,11806306,1719471,14676719,4209965,2558286,17104779,5981005,9993348,10760701,10743390,11552867,6937470,6114695,6304246,20120615,9896317,12169267,30751112,124493,21619075,4882979,8075782,7959222,4787150,22082286,10916561,14097024,11829390,2932510,2766034,1419095,15780777,11604978,12434652,10903510,8472976,7627844,17446380,5218178,8660293,11375105,16800870,16900233,15293080,7780605,14733798,10145045,4256461,16616677,7280590,6788821,5645231,11243772,10083084,11215030,15339747,6524092,18903701,12204079,11383358,5182050,13470496,13204938,15816872,10188022,3498155,24371637,11930908,9072586,14992852,22274174,8082362,10092099,18441629,5527745,23179637,16270893,11269055,9712285,12159899,10333154,14573462,8116659,9227895,17117482,12353810,5774823,2590257,10613549,10077132,10717635,12118967,18659783,9747255,15225729,17202789,1876565,18604347,7724148,13065919,14764185,10354591,7075211,13287112,7068158,15587374,21811804,7892320,1334384,9902255,11828209,23417038,15428284,7027766,20263707,15095811,16864309,12241010,7883418,12155780,4581069,3345902,2012453,13705417,9459674,12482926,10380158,14970132,18802561,1473890,7025429,14503423,9820878,8581210,2511839,5447609,6142837,2572468,12667143,10809844,3893786,18153252,12637617,28071599,21958501,12699987,11684622,3765989,18946207,18351160,17724014,11399348,6646269,4959454,6387149,12366071,9650310,8481621,12632867,6806754,31144837,7351448,1860489,11948617,4301976,612898,6735738,10890712,8133880,7613309,14272451,10073635,14385814,13286326,16085078,12976255,11195861,17663097,11553627,7972980,9480554,8335950,8359561,8443945,7818990,10162611,2204373,11663882,13380270,9414229,6800152,8901306,1492995,8696866,13618032,11310423,11518376,25927812,11113213,9694263,15567583,6787940,13735210,4511522,3171691,6360447,7341471,7784120,16139008,13016277,6123428,12686213,11405263,17673584,9561644,6574823,11652827,19256705,12958376,9211924,9313951,13304804,26368668,11584669,8655635,3328742,13214651,4787223,11307733,15843402,16870029,7178423,8181420,7216681,11417993,3149577,11596326,4682646,33389301,15537476,4650315,8105138,9508109,4734703,11198996,5155973,2562987,7440783,18284065,10199538,19776980,15885344,7410343,2323131,14176480,13872272,15556397,10240089,4196808,7806847,4916057,3126596,6619303,14897088,12479148,20250190,12378737,14249222,11410238,12052880,9942252,13006426,18827585,14277157,11875189,6567297,13266755,12389546,11509631,4141918,33197849,8975836,4064661,6942259,4637369,20092579,2768421,1336437,11398156,9099771,6922333,11424586,31507014,23925029,10913538,19618102,7961288,13207763,13872859,13510304,22710559,11351654,24486749,15574234,14361133,18131614,3145033,8788058,10270787,12970596,20511373,13056953,24482708,31849423,12736534,6668666,9067591,7587734,9052194,16866418,6404488,3673698,5371497,10954912,17462509,12739835,1650010,15493529,7959945,14869187,16756305,6591496,19526828,4170932,4908650,18922516,11141578,10145502,9254536,15908405,12652779,12111972,18897621,18014081,16359045,12420904,10196805,5477343,9331403,15743842,5455713,16564766,8769858,13193663,19401270,15135237,11113067,8195473,11553201,11120124,18414466,10223298,11226645,18371932,19887342,9203793,11481765,14633196,11584075,19827029,3506793,4928776,15734664,6824840,5423872,16348690,17649390,754565,3876402,9704802,9513980,11811792,9915885,3942535,13062430,11800154,9797230,20963631,27758743,8935379,18323396,10651106,10702366,9719351,6404027,14494895,2553519,24868424,12701607,13212181,15818398,11490085,14035338,10634348,7969090,7657831,13571078,7333471,13783044,13596160,5783061,11558207,10806437,11919665,14184577,13858963,9524966
1475722,1857.11,,1124.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4917965,1781.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027876,1771.51,,1411.92,,,,,,1109.94,,,,,,,,1116.3,,,1131.34,,,898.54,,,,,,,,,,,,,,,,,,1180.47,,,892.33,,,,,,,,,,,,,,,,,,,930.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.22,,,,809.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4792613,1747.94,,,,,,,,972.64,,,,,,954.96,,,,,1026.85,889.07,,,,,,,,,831.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724319,1723.31,,1390.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4786514,1660.55,,,,,,,,975.88,,,,,,,,,,,906.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.52,,,,,,,,,,,,,,,,,,,680.21,,,,,,,,757.35,753.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.11,,,,653.0,,,,,,,,,,,,,,627.69,,,,,,,,,,,,,
5544732,1649.69,,1223.32,,,,,,1432.44,,,1406.95,,,,,1328.26,,1186.19,1155.19,1406.78,1070.47,1319.29,,1197.1,,,,,1356.39,,1223.19,1421.95,852.22,,,1060.18,,,,1315.62,989.72,,1245.06,,,1153.42,,,,1011.81,,,1136.05,,,849.03,,,1160.09,956.53,,1178.82,,,,,1178.82,,,,,,,,,,805.65,992.69,972.11,,1178.82,998.23,,,928.29,,,1137.16,,816.43,936.58,,,,,,861.05,733.9,,,,927.07,,,,,1074.87,870.5,,,,,,,,,,,,,,,,,,,,,,,,738.19,,,,,,976.28,,,,880.17,,,,,,,974.34,,,,,880.42,,873.34,,,941.31,,,,,,,,865.28,,,,,,,,674.81,,,,,727.41,,,1008.93,765.98,,1076.42,,,1034.11,,,,,,829.04,,855.41,,,,,,,,,,,,,,,755.45,,,,,,,,,,,,,695.87,1113.12,1002.65,964.27,,,,,,,,,,,1029.55,,,846.46,,,,,,,,,,,913.67,,,,,,,,776.73,,,,786.92,,,,,,,,,,,,843.85,,,1020.39,757.55,,940.23,,840.63,,,,,,,,,,,,,,,,829.72,,,,,,,,,,,,,,,,724.95,,,,801.58,790.41,,,,,,,,,,,821.83,,,,,,,880.91,,,,,,,,,,,645.81,,,741.88,,,950.7,,,,,,,,,,,,,,,788.59,,951.98,730.04,,812.59,,,,,964.99,,,,,,,,,,,,,695.4,838.98,,,,,,,,,,,,,,788.6,771.82,,669.6,,,,,,,,,,,,,,765.71,,,,,,,,,,,781.91,,,,,,,,,,,,,,,,,644.84,858.5,,,631.51,,,674.19,,,,856.9,,,,,761.41,,,,,,,,,,,,,,,,644.84,,596.18,,,,,,,,,,863.04
5124997,1641.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.05,,,,,,,,,,,,,,,,753.71,,,,,,,,,,,,,,,695.02,,,,,,,,,,,,,,,,
1811527,1639.1,,,1162.85,1151.8,1637.71,1083.3,,,896.47,,,,1212.05,,1251.52,,875.91,,,,,,1109.03,,,1031.96,,,,943.84,,,,,,,,991.92,,,,,,,,,,,,927.49,,836.26,,,,,,,,,,,,,,,,,,1002.93,,925.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.26,,,,,642.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.83,,,,,,,,,,,,,,,,,,,,668.03,,,,,,,,,,,,,,,,,,,,613.5,,,,,,,,,,,,,,605.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.8,,,,,,,,,,,,690.08,,,,,,,,,,,599.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.71,609.76,,,,,,,,,,,
