BeatmapID,TotalWeightedPP,AppearanceCount,Placements,Title,DifficultyName
4415584,3315.2094,35,"54,43,90,9,91,29,67,77,26,40,47,89,97,64,97,100,79,38,34,96,89,3,33,64,92,58,50,83,70,74,100,53,24,55,85",Brazil,Kuki's Extra
1791963,1246.8995,9,"55,38,49,24,36,16,55,50,76",Soundscape,Meg's Extra
5416769,10739.3274,62,"56,39,25,32,43,51,50,13,7,71,56,52,49,22,62,95,35,6,30,97,43,51,44,29,66,80,57,44,14,31,14,8,89,46,73,11,30,86,100,40,23,41,26,40,66,39,6,86,15,19,55,51,10,68,83,73,51,2,40,71,90,66",Christmas Slop,Reform's Extreme+
3647151,1669.4413,8,"57,45,87,16,2,98,39,43",Bokura dake no Shudaika,Memory
1024480,155.1766,4,"58,98,94,42",Yuudachi no Ribbon,Rain
1588369,5809.8311,33,"61,38,49,83,80,76,37,22,9,4,44,27,28,49,26,64,50,80,16,84,99,14,24,22,94,93,92,47,11,55,9,58,36",ReI,Ameagari
1041727,112.3795,4,"63,93,87,48",Now Loading!!!!,Press SELECT
2201460,4453.0027,52,"66,91,81,63,15,89,52,96,91,78,100,98,91,78,62,10,46,47,43,71,52,29,72,29,60,85,63,32,51,46,57,87,97,40,60,12,85,88,87,73,90,67,18,28,78,20,91,63,13,47,30,93",HIKARI (TV Size),browiec's Wisdom
4913996,2630.3255,32,"67,72,48,39,88,91,98,77,79,72,28,69,52,90,78,55,81,47,35,21,57,88,43,96,62,3,56,68,20,99,19,98",El Mismo Sol (Cut Ver.),Parad0xa's Extra
2484994,2340.1321,23,"69,49,93,23,71,14,91,66,83,76,91,84,60,6,44,27,46,82,83,43,97,97,35",Chicago,Sky City
3905716,29.0145,1,71,Keep going,Cycling Kings
1583228,41.4023,3,"72,91,95",Ringo Uri no Utakata Shoujo,Happy Cursed
3257742,1687.4968,28,"73,94,70,82,45,85,94,81,43,54,84,60,39,82,33,39,84,51,96,29,79,89,45,55,26,18,55,100",Happy! Lucky! Dochy! (TV Size),1-2-3
5848202,568.0343,3,"74,14,79","Fairytale,",Starlit Memories
1655981,4693.8095,32,"75,42,6,14,35,88,56,39,87,6,74,72,73,94,71,34,16,25,36,90,70,39,97,34,35,91,96,20,33,21,97,67",Black Rover (TV Size),Extreme
